date,ovx_close
2007-05-10,27.09000015258789
2007-05-11,26.40999984741211
2007-05-14,27.229999542236328
2007-05-15,27.88999938964844
2007-05-16,27.06999969482422
2007-05-17,24.86000061035156
2007-05-18,24.709999084472656
2007-05-21,24.670000076293945
2007-05-22,26.030000686645508
2007-05-23,26.350000381469727
2007-05-24,26.6299991607666
2007-05-25,25.809999465942383
2007-05-29,27.82999992370605
2007-05-30,28.61000061035156
2007-05-31,28.440000534057617
2007-06-01,27.38999938964844
2007-06-04,27.36000061035156
2007-06-05,26.700000762939453
2007-06-06,25.940000534057617
2007-06-07,26.11000061035156
2007-06-08,26.51000022888184
2007-06-11,25.989999771118164
2007-06-12,25.809999465942383
2007-06-13,26.06999969482422
2007-06-14,26.350000381469727
2007-06-15,26.40999984741211
2007-06-18,27.149999618530277
2007-06-19,26.71999931335449
2007-06-20,27.13999938964844
2007-06-21,28.0
2007-06-22,28.15999984741211
2007-06-25,28.01000022888184
2007-06-26,27.790000915527344
2007-06-27,28.059999465942383
2007-06-28,27.950000762939453
2007-06-29,27.440000534057617
2007-07-02,27.520000457763672
2007-07-03,27.450000762939453
2007-07-05,27.32999992370605
2007-07-06,27.399999618530277
2007-07-09,28.25
2007-07-10,27.3700008392334
2007-07-11,27.690000534057617
2007-07-12,27.350000381469727
2007-07-13,27.059999465942383
2007-07-16,28.0
2007-07-17,27.459999084472656
2007-07-18,27.90999984741211
2007-07-19,27.399999618530277
2007-07-20,26.690000534057617
2007-07-23,27.09000015258789
2007-07-24,27.420000076293945
2007-07-25,26.84000015258789
2007-07-26,27.790000915527344
2007-07-27,27.25
2007-07-30,30.15999984741211
2007-07-31,30.690000534057617
2007-08-01,29.729999542236328
2007-08-02,29.68000030517578
2007-08-03,29.31999969482422
2007-08-06,32.4900016784668
2007-08-07,29.479999542236328
2007-08-08,27.06999969482422
2007-08-09,29.729999542236328
2007-08-10,30.8700008392334
2007-08-13,30.81999969482422
2007-08-14,30.229999542236328
2007-08-15,31.13999938964844
2007-08-16,37.02000045776367
2007-08-17,35.459999084472656
2007-08-20,34.15999984741211
2007-08-21,34.33000183105469
2007-08-22,31.93000030517578
2007-08-23,29.850000381469727
2007-08-24,28.670000076293945
2007-08-27,28.979999542236328
2007-08-28,28.809999465942383
2007-08-29,28.8799991607666
2007-08-30,28.989999771118164
2007-08-31,28.86000061035156
2007-09-04,29.489999771118164
2007-09-05,30.290000915527344
2007-09-06,31.11000061035156
2007-09-07,31.38999938964844
2007-09-10,30.81999969482422
2007-09-11,31.299999237060547
2007-09-12,30.25
2007-09-13,30.3700008392334
2007-09-14,29.3700008392334
2007-09-17,29.71999931335449
2007-09-18,29.770000457763672
2007-09-19,28.93000030517578
2007-09-20,30.56999969482422
2007-09-21,30.299999237060547
2007-09-24,29.190000534057617
2007-09-25,28.790000915527344
2007-09-26,28.399999618530277
2007-09-27,27.770000457763672
2007-09-28,29.31999969482422
2007-10-01,30.530000686645508
2007-10-02,30.739999771118164
2007-10-03,30.6200008392334
2007-10-04,30.1200008392334
2007-10-05,29.56999969482422
2007-10-08,31.06999969482422
2007-10-09,30.59000015258789
2007-10-10,30.239999771118164
2007-10-11,29.200000762939453
2007-10-12,28.61000061035156
2007-10-15,28.399999618530277
2007-10-16,29.799999237060547
2007-10-17,31.65999984741211
2007-10-18,32.040000915527344
2007-10-19,32.38999938964844
2007-10-22,32.27000045776367
2007-10-23,32.150001525878906
2007-10-24,31.34000015258789
2007-10-25,31.11000061035156
2007-10-26,32.7400016784668
2007-10-29,32.61000061035156
2007-10-30,34.650001525878906
2007-10-31,37.459999084472656
2007-11-01,39.709999084472656
2007-11-02,39.9900016784668
2007-11-05,40.13999938964844
2007-11-06,41.20000076293945
2007-11-07,41.369998931884766
2007-11-08,40.84000015258789
2007-11-09,37.060001373291016
2007-11-12,39.650001525878906
2007-11-13,38.68999862670898
2007-11-14,35.79999923706055
2007-11-15,34.560001373291016
2007-11-16,32.720001220703125
2007-11-19,31.450000762939453
2007-11-20,33.939998626708984
2007-11-21,34.380001068115234
2007-11-23,36.08000183105469
2007-11-26,35.95000076293945
2007-11-27,34.34000015258789
2007-11-28,34.939998626708984
2007-11-29,36.470001220703125
2007-11-30,37.2599983215332
2007-12-03,38.5099983215332
2007-12-04,37.36000061035156
2007-12-05,36.0
2007-12-06,34.41999816894531
2007-12-07,35.0099983215332
2007-12-10,35.939998626708984
2007-12-11,35.220001220703125
2007-12-12,34.58000183105469
2007-12-13,35.40999984741211
2007-12-14,34.439998626708984
2007-12-17,33.439998626708984
2007-12-18,31.790000915527344
2007-12-19,31.420000076293945
2007-12-20,29.170000076293945
2007-12-21,26.90999984741211
2007-12-24,27.479999542236328
2007-12-26,27.459999084472656
2007-12-27,32.06999969482422
2007-12-28,33.47999954223633
2007-12-31,36.34999847412109
2008-01-02,37.22999954223633
2008-01-03,36.470001220703125
2008-01-04,34.5
2008-01-07,35.18000030517578
2008-01-08,34.61000061035156
2008-01-09,33.93000030517578
2008-01-10,33.47999954223633
2008-01-11,32.119998931884766
2008-01-14,32.72999954223633
2008-01-15,33.599998474121094
